Filepath,Filename,Transcript
Read_Speech_Data/Read_Speech_Data/8Y/Boys_8/M1/M1_01,M1_01_01.wav,The oldest member of the family is my grandmother and the youngest member of the family is my baby brother.
Read_Speech_Data/Read_Speech_Data/8Y/Boys_8/M1/M1_01,M1_01_02.wav,"20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1."
Read_Speech_Data/Read_Speech_Data/8Y/Boys_8/M1/M1_01,M1_01_03.wav,Mom and Dad arrived at the bus station early but waited until the bus came.
Read_Speech_Data/Read_Speech_Data/8Y/Boys_8/M1/M1_01,M1_01_04.wav,Dog eats bones. Mike likes bikes. Elsa wants a book. Adam plays basketball.
Read_Speech_Data/Read_Speech_Data/8Y/Boys_8/M1/M1_01,M1_01_05.wav,I don't have time to go with you. I am playing cricket.
Read_Speech_Data/Read_Speech_Data/8Y/Boys_8/M1/M1_01,M1_01_06.wav,The nature is very attractive and full of my favorite green color.
Read_Speech_Data/Read_Speech_Data/8Y/Boys_8/M1/M1_01,M1_01_07.wav, The nature is very attractive and full of my favorite green color.
Read_Speech_Data/Read_Speech_Data/8Y/Boys_8/M1/M1_01,M1_01_08.wav,We should respect and love all members of the family.
Read_Speech_Data/Read_Speech_Data/8Y/Boys_8/M1/M1_01,M1_01_09.wav,I love my family and in the future I want to make my family proud.
Read_Speech_Data/Read_Speech_Data/8Y/Boys_8/M1/M1_01,M1_01_10.wav,Nature is as caring is our mother and always sweet like her.
Read_Speech_Data/Read_Speech_Data/8Y/Boys_8/M2/M2_01,M2_01_01.wav,The oldest member of the family is my grandfather and the youngest member of the family is my baby brother.
Read_Speech_Data/Read_Speech_Data/8Y/Boys_8/M2/M2_01,M2_01_02.wav,We should respect and love all members of the family.
Read_Speech_Data/Read_Speech_Data/8Y/Boys_8/M2/M2_01,M2_01_03.wav,"20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1."
Read_Speech_Data/Read_Speech_Data/8Y/Boys_8/M2/M2_01,M2_01_04.wav,"Nature gives us fruits, vegetables, and grains to eat."
Read_Speech_Data/Read_Speech_Data/8Y/Boys_8/M2/M2_01,M2_01_05.wav,Dogs eat bones. Mike likes bikes. Elsa wants a book. Adam plays basketball.
